book,region,id_name,territory_name,territory_name_old,capital_name,capital_lat_long,territory_secular_rule,territory_start_secular_rule,territory_end_secular_rule,territory_ecclesiastical_rule,territory_start_ecclesiastical_rule,territory_end_ecclesiastical_rule,territory_religion,territory_start_religion,territory_end_religion,alliance,start_alliance,source,table_on_wikipedia
SW,evangl Reichsstädte,Reutlingen,Reutlingen,Reutlingen,Reutlingen,"48.5069° N, 9.2038° E",imperial city,1240,1802,,,,Roman-catholic,,1519,SL,1531,https://de.wikipedia.org/wiki/Reutlingen,n
SW,evangl Reichsstädte,Reutlingen,Reutlingen,Reutlingen,Reutlingen,"48.5069° N, 9.2038° E",imperial city,1240,1802,,,,lutheran,1519,,SL,1531,https://de.wikipedia.org/wiki/Reutlingen,n
SW,evangl Reichsstädte,Rotheburg,Rotheburg,Rothenburg,Rothenburg,"49.3802° N, 10.1867° E",imperial city,1274,1803,,,,Roman-catholic,,1544,,,https://de.wikipedia.org/wiki/Rothenburg_ob_der_Tauber#Reichsstadt,n
SW,evangl Reichsstädte,Rotheburg,Rotheburg,Rothenburg,Rothenburg,"49.3802° N, 10.1867° E",imperial city,1274,1803,,,,lutheran,1544,,,,https://de.wikipedia.org/wiki/Rothenburg_ob_der_Tauber#Reichsstadt,n
SW,evangl Reichsstädte,Schwäbisch-Hall,Schwäbisch-Hall,Schwäbisch Hall,Schwäbisch Hall,"49.1125° N, 9.7373° E",imperial city,1280,1802,,,,Roman-catholic,,1523,SL,1538,https://de.wikipedia.org/wiki/Schw%C3%A4bisch_Hall,n
SW,evangl Reichsstädte,Schwäbisch-Hall,Schwäbisch-Hall,Schwäbisch Hall,Schwäbisch Hall,"49.1125° N, 9.7373° E",imperial city,1280,1802,,,,lutheran,1523,,SL,1538,https://de.wikipedia.org/wiki/Schw%C3%A4bisch_Hall,n
SW,evangl Reichsstädte,Dinkelsbühl,Dinkelsbühl,Dinkelsbühl,Dinkelsbühl,"49.0670° N, 10.3259° E",imperial city,1351,1802,,,,Roman-catholic,,1548,SL,1546,https://de.wikipedia.org/wiki/Reichsstadt_Dinkelsb%C3%BChl,y
SW,evangl Reichsstädte,Dinkelsbühl,Dinkelsbühl,Dinkelsbühl,Dinkelsbühl,"49.0670° N, 10.3259° E",imperial city,1351,1802,,,,free,1548,,SL,1546,https://de.wikipedia.org/wiki/Reichsstadt_Dinkelsb%C3%BChl,y
SW,evangl Reichsstädte,Donauwörth,Donauwörth,Donauwörth,Donauwörth,"48.7186° N, 10.7778° E",imperial city,1301,1606,,,,Roman-catholic,,1577,,,https://de.wikipedia.org/wiki/Donauw%C3%B6rth,n
SW,evangl Reichsstädte,Donauwörth,Donauwörth,Donauwörth,Donauwörth,"48.7186° N, 10.7778° E",imperial city,1301,1606,,,,lutheran,1577,,,,https://de.wikipedia.org/wiki/Donauw%C3%B6rth,n
