,id_name,territory_name,territory_start,territory_end,territory_secular_rule,territory_start_secular_rule,territory_end_secular_rule,territory_ecclesiastical_rule,territory_start_ecclesiastical_rule,territory_end_ecclesiastical_rule,territory_religion,territory_start_religion,territory_end_religion,alliance,start_alliance,capital_name,capital_lat_long,book,region,source,table_on_wikipedia
365,Bremen (Erzstift),Bremen (Erzstift),1180.0,1648.0,principality,1180.0,1648.0,archbishopric,1180.0,1648.0,lutheran,1540.0,1648.0,,,Bücken,"52.7797° N, 9.1304° E",NW,Bremen,https://de.wikipedia.org/wiki/Erzstift_und_Herzogtum_Bremen,y
366,Bremen,Bremen,1186.0,1811.0,free imperial city,1186.0,1811.0,,,,Roman-catholic,1186.0,1534.0,SL,1531.0,Bremen,"53.0793° N, 8.8017° E",NW,Bremen,https://de.wikipedia.org/wiki/Geschichte_der_Stadt_Bremen#Freie_Reichsstadt,n
367,Bremen,Bremen,1186.0,1811.0,free imperial city,1186.0,1811.0,,,,lutheran,1534.0,1811.0,SL,1531.0,Bremen,"53.0793° N, 8.8017° E",NW,Bremen,https://de.wikipedia.org/wiki/Geschichte_der_Stadt_Bremen#Freie_Reichsstadt,n
368,Köln (Erzstift),Köln (Erzstift),450.0,1803.0,electorate,950.0,1803.0,archbishopric,450.0,1803.0,Roman-catholic,450.0,1540.0,,,Bonn,"50.7374° N, 7.0982° E",NW,Köln,https://de.wikipedia.org/wiki/Kurk%C3%B6ln,y
369,Köln (Erzstift),Köln (Erzstift),450.0,1803.0,electorate,950.0,1803.0,archbishopric,450.0,1803.0,"lutheran, calvinist",1540.0,1580.0,,,Bonn,"50.7374° N, 7.0982° E",NW,Köln,https://de.wikipedia.org/wiki/Kurk%C3%B6ln,y
370,Köln (Erzstift),Köln (Erzstift),450.0,1803.0,electorate,950.0,1803.0,archbishopric,450.0,1803.0,Roman-catholic,1580.0,1803.0,,,Bonn,"50.7374° N, 7.0982° E",NW,Köln,https://de.wikipedia.org/wiki/Kurk%C3%B6ln,y
371,Köln,Köln,1288.0,1776.0,free imperial city,1288.0,1776.0,,,,Roman-catholic,1288.0,1776.0,,,Köln,"50.9375° N, 6.9603° E",NW,Köln,https://de.wikipedia.org/wiki/Geschichte_der_Stadt_K%C3%B6ln#Die_Freie_Reichsstadt_K%C3%B6ln,n
372,Westfalen,Westfalen,1180.0,1803.0,duchy,1180.0,1803.0,,,,Roman-catholic,1180.0,1803.0,,,Arnsberg,"51.4073° N, 8.0528° E",NW,Köln,https://de.wikipedia.org/wiki/Herzogtum_Westfalen,n
373,Recklingshausen,Recklingshausen,1338.0,1803.0,vest,1338.0,1803.0,,,,Roman-catholic,1338.0,1803.0,,,Recklinghausen,"51.6141° N, 7.1979° E",NW,Köln,https://de.wikipedia.org/wiki/Vest_Recklinghausen,n
374,Jülich,Jülich,1356.0,1801.0,duchy,1356.0,1801.0,,,,Roman-catholic,1356.0,1801.0,,,Jülich,"50.9224° N, 6.3639° E",NW,Jülich,https://de.wikipedia.org/wiki/Herzogtum_J%C3%BClich,n
375,Berg,Berg,1380.0,1806.0,duchy,1380.0,1806.0,,,,Roman-catholic,1380.0,1525.0,,,Düsseldorf,"51.2277° N, 6.7735° E",NW,Jülich,https://de.wikipedia.org/wiki/Herzogtum_Berg#Die_Herz%C3%B6ge_von_J%C3%BClich-Berg,n
376,Berg,Berg,1380.0,1806.0,duchy,1380.0,1806.0,,,,"Roman-catholic, lutheran, calvinist, reformed",1525.0,1806.0,,,Düsseldorf,"51.2277° N, 6.7735° E",NW,Jülich,https://de.wikipedia.org/wiki/Herzogtum_Berg#Die_Herz%C3%B6ge_von_J%C3%BClich-Berg,n
377,Kleve,Kleve,1417.0,1614.0,duchy,1417.0,1614.0,,,,Roman-catholic,1417.0,1525.0,,,Kleve,"51.7867° N, 6.1295° E",NW,Jülich,https://de.wikipedia.org/wiki/Herzogtum_Kleve,y
378,Kleve,Kleve,1417.0,1614.0,duchy,1417.0,1614.0,,,,"Roman-catholic, lutheran, calvinist, reformed",1525.0,1614.0,,,Kleve,"51.7867° N, 6.1295° E",NW,Jülich,https://de.wikipedia.org/wiki/Herzogtum_Kleve,y
379,Mark,Mark,1199.0,1609.0,county,1199.0,1609.0,,,,Roman-catholic,1199.0,1525.0,,,Hamm,"51.6739° N, 7.8160° E",NW,Jülich,https://de.wikipedia.org/wiki/Grafschaft_Mark,y
380,Mark,Mark,1199.0,1609.0,county,1199.0,1609.0,,,,"Roman-catholic, lutheran, calvinist, reformed",1525.0,1609.0,,,Hamm,"51.6739° N, 7.8160° E",NW,Jülich,https://de.wikipedia.org/wiki/Grafschaft_Mark,y
381,Ravensberg,Ravensberg,1140.0,1807.0,county,1140.0,1807.0,,,,Roman-catholic,1140.0,1525.0,,,Bielefeld,"52.0302° N, 8.5325° E",NW,Jülich,https://de.wikipedia.org/wiki/Grafschaft_Ravensberg,y
382,Ravensberg,Ravensberg,1140.0,1807.0,county,1140.0,1807.0,,,,"Roman-catholic, lutheran, calvinist, reformed",1525.0,1807.0,,,Bielefeld,"52.0302° N, 8.5325° E",NW,Jülich,https://de.wikipedia.org/wiki/Grafschaft_Ravensberg,y
383,Münster (Hochstift),Münster (Hochstift),,1803.0,,,,bishopric,,1803.0,Roman-catholic,,1803.0,,,Münster,"51.9607° N, 7.6261° E",NW,Münster,https://de.wikipedia.org/wiki/Hochstift_M%C3%BCnster,y
384,Osnabrück (Hochstift),Osnabrück (Hochstift),,1803.0,principality,,1803.0,bishopric,,1803.0,Roman-catholic,,1543.0,SL,1544.0,Osnabrück,"52.2799° N, 8.0472° E",NW,Osnabrück,https://de.wikipedia.org/wiki/Hochstift_Osnabr%C3%BCck,y
385,Osnabrück (Hochstift),Osnabrück (Hochstift),,1803.0,principality,,1803.0,bishopric,,1803.0,"Roman-catholic, lutheran",1543.0,1803.0,SL,1544.0,Osnabrück,"52.2799° N, 8.0472° E",NW,Osnabrück,https://de.wikipedia.org/wiki/Hochstift_Osnabr%C3%BCck,y
386,Paderborn (Hochstift),Paderborn (Hochstift),,1803.0,principality,,1803.0,bishopric,,1803.0,Roman-catholic,,1803.0,,,Paderborn,"51.7189° N, 8.7575° E",NW,Paderborn,https://de.wikipedia.org/wiki/Hochstift_Paderborn,y
387,Ostfriesland,Ostfriesland,1464.0,1806.0,county,1464.0,1806.0,,,,Roman-catholic,1464.0,1526.0,,,Emden,"53.3594° N, 7.2060° E",NW,Ostfriesland,https://de.wikipedia.org/wiki/Grafschaft_Ostfriesland,y
388,Ostfriesland,Ostfriesland,1464.0,1806.0,county,1464.0,1806.0,,,,free,1526.0,1539.0,,,Emden,"53.3594° N, 7.2060° E",NW,Ostfriesland,https://de.wikipedia.org/wiki/Grafschaft_Ostfriesland,y
389,Ostfriesland,Ostfriesland,1464.0,1806.0,county,1464.0,1806.0,,,,"lutheran, reformed",1539.0,1806.0,,,Emden,"53.3594° N, 7.2060° E",NW,Ostfriesland,https://de.wikipedia.org/wiki/Grafschaft_Ostfriesland,y
390,Tecklenburg,Tecklenburg,1139.0,1707.0,county,1139.0,1707.0,,,,Roman-catholic,1139.0,1527.0,SL,1538.0,Tecklenburg,"52.2203° N, 7.8124° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Grafschaft_Tecklenburg,y
391,Tecklenburg,Tecklenburg,1139.0,1707.0,county,1139.0,1707.0,,,,lutheran,1527.0,1575.0,SL,1538.0,Tecklenburg,"52.2203° N, 7.8124° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Grafschaft_Tecklenburg,y
392,Tecklenburg,Tecklenburg,1139.0,1707.0,county,1139.0,1707.0,,,,calvinist,1575.0,1707.0,SL,1538.0,Tecklenburg,"52.2203° N, 7.8124° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Grafschaft_Tecklenburg,y
393,Bentheim,Bentheim,1228.0,1806.0,county,1228.0,1806.0,,,,Roman-catholic,1228.0,1544.0,,,Bentheim,"52.5375° N, 7.0224° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Grafschaft_Bentheim,y
394,Bentheim,Bentheim,1228.0,1806.0,county,1228.0,1806.0,,,,lutheran,1544.0,1575.0,,,Bentheim,"52.5375° N, 7.0224° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Grafschaft_Bentheim,y
395,Bentheim,Bentheim,1228.0,1806.0,county,1228.0,1806.0,,,,calvinist,1575.0,1806.0,,,Bentheim,"52.5375° N, 7.0224° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Grafschaft_Bentheim,y
396,Steinfurt,Steinfurt,1495.0,1806.0,county,1495.0,1806.0,,,,Roman-catholic,1495.0,1544.0,,,Steinfurt,"52.1446° N, 7.3335° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Herrschaft_Steinfurt,y
397,Steinfurt,Steinfurt,1495.0,1806.0,county,1495.0,1806.0,,,,lutheran,1544.0,1575.0,,,Steinfurt,"52.1446° N, 7.3335° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Herrschaft_Steinfurt,y
398,Steinfurt,Steinfurt,1495.0,1806.0,county,1495.0,1806.0,,,,calvinist,1575.0,1806.0,,,Steinfurt,"52.1446° N, 7.3335° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Herrschaft_Steinfurt,y
399,Gronau,Gronau,1365.0,1806.0,lordship,1365.0,1806.0,,,,Roman-catholic,1365.0,1544.0,,,Gronau,"52.1841° N, 7.0289° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Gronau_(Westf.)#Geschichte,n
400,Gronau,Gronau,1365.0,1806.0,lordship,1365.0,1806.0,,,,lutheran,1544.0,1575.0,,,Gronau,"52.1841° N, 7.0289° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Gronau_(Westf.)#Geschichte,n
401,Gronau,Gronau,1365.0,1806.0,lordship,1365.0,1806.0,,,,calvinist,1575.0,1806.0,,,Gronau,"52.1841° N, 7.0289° E",NW,Tecklenburg,https://de.wikipedia.org/wiki/Gronau_(Westf.)#Geschichte,n
